item,cost,chop,join,width,description,group
1143,5.48,8.76,10.51,0.75,"3/4"" Contemporary Ivory w/Silver",Wood
1191,4.26,7.45,8.94,0.75,"3/4"" x 1-1/2"" Black Wood Grain",Wood
1192,4.26,7.45,8.94,0.75,"3/4"" x 1-1/2"" Coffee Wood Grain",Wood
1193,4.26,7.45,8.94,0.75,"3/4"" x 1-1/2"" Teak Wood Grain",Wood
1194,4.26,7.45,8.94,0.75,"3/4"" x 1-1/2"" Chestnut Wood Grain",Wood
1195,4.26,7.45,8.94,0.75,"3/4"" x 1-1/2"" Natural Oak Wood Grain",Wood
1229-853,7.8,11.66,13.99,1,"1"" Gold Leaf Boheme",Wood
1229-854,7.8,11.66,13.99,1,"1"" Silver Leaf Boheme",Wood
1229-855,7.8,11.66,13.99,1,"1"" Brown w/Gold Lip Boheme",Wood
1229-857,7.8,11.66,13.99,1,"1"" Black w/Gold Lip Boheme",Wood
1229-858,7.8,11.66,13.99,1,"1"" Black w/Silver Lip Boheme",Wood
1291,4.26,7.45,8.94,1.63,"1-5/8"" x 7/8"" Black Wood Grain",Wood
1292,4.26,7.45,8.94,1.63,"1-5/8"" x 7/8"" Coffee Wood Grain",Wood
1293,4.26,7.45,8.94,1.63,"1-5/8"" x 7/8"" Teak Wood Grain",Wood
1294,4.26,7.45,8.94,1.63,"1-5/8"" x 7/8"" Chestnut Wood Grain",Wood
1295,4.26,7.45,8.94,1.63,"1-5/8"" x 7/8"" Natural Oak Wood Grain",Wood
1391,3.18,5.89,7.07,0.63,"5/8"" x 1"" Black Wood Grain",Wood
1392,3.18,5.89,7.07,0.63,"5/8"" x 1"" Coffee Wood Grain",Wood
1393,3.18,5.89,7.07,0.63,"5/8"" x 1"" Teak Wood Grain",Wood
1394,3.18,5.89,7.07,0.63,"5/8"" x 1"" Chestnut Wood Grain",Wood
1395,3.18,5.89,7.07,0.63,"5/8"" x 1"" Natural Oak Wood Grain",Wood
1602-914,18.79,28.18,33.82,1.56,"1-9/16"" Sky Blue w/ Rust",Wood
1602-915,18.79,28.18,33.82,1.56,"1-9/16"" Sunflower w/ Rust",Wood
1602-916,18.79,28.18,33.82,1.56,"1-9/16"" Rosso w/ Rust",Wood
1602-917,18.79,28.18,33.82,1.56,"1-9/16"" Teal Green w/ Rust",Wood
1602-918,18.79,28.18,33.82,1.56,"1-9/16"" Lime Green w/ Rust",Wood
2010-1742,3.95,6.91,8.29,,"5/8"" Lemon Lime Pastel",Wood
2010-1743,3.95,6.91,8.29,,"5/8"" Mint Blue Pastel",Wood
2010-1744,3.95,6.91,8.29,,"5/8"" Peachy Pastel",Wood
2010-1745,3.95,6.91,8.29,,"5/8"" Sweet Honey Pastel",Wood
2010-46,4.76,7.69,9.23,0.63,"5/8"" Alluminio Matrix",Wood
2010-47,4.76,7.69,9.23,0.63,"5/8"" Cromo Matrix",Wood
