Mldg #,Width,Rabbet Height,Lip Size,Length,Chop,Join,Group,Description,UPC
184AK,0.75,2.5,0.25,11.03,16.1,21.74,Wood,Satin Black #184 Ash,
FC-184AK,0.75,2.5,0.25,,,31.16,Wood,FC Satin Black #184 Ash,
184AA,0.75,2.5,0.25,11.03,16.1,21.74,Wood,Warm White #184 Ash,
FC-184AA,0.75,2.5,0.25,,,31.16,Wood,FC Warm White #184 Ash,
184AC,0.75,2.5,0.25,11.03,16.1,21.74,Wood,Charcoal #184 Ash,
FC-184AC,0.75,2.5,0.25,,,31.16,Wood,FC Charcoal #184 Ash,
184AI,0.75,2.5,0.25,11.03,16.1,21.74,Wood,Rising White #184 Ash,
FC-184AI,0.75,2.5,0.25,,,31.16,Wood,FC Rising White #184 Ash,
184A1,0.75,2.5,0.25,11.03,16.1,21.74,Wood,Light Grey #184 Ash,
FC-184A1,0.75,2.5,0.25,,,31.16,Wood,FC Light Grey #184 Ash,
184A2,0.75,2.5,0.25,11.03,16.1,21.74,Wood,Medium Grey #184 Ash,
FC-184A2,0.75,2.5,0.25,,,31.16,Wood,FC Medium Grey #184 Ash,
184A3,0.75,2.5,0.25,11.03,16.1,21.74,Wood,Dark Grey #184 Ash,
FC-184A3,0.75,2.5,0.25,,,31.16,Wood,FC Dark Grey #184 Ash,
184CR,0.75,2.5,0.25,7.31,10.96,16.44,Wood,Raw #184 Cherry,
FC-184CR,0.75,2.5,0.25,,,31.59,Wood,FC Raw #184 Cherry,
184CF,0.75,2.5,0.25,10.84,16.26,21.95,Wood,Oil & Wax #184 Cherry,
FC-184CF,0.75,2.5,0.25,,,32.27,Wood,FC Oil & Wax #184 Cherry,
184CL,0.75,2.5,0.25,12.74,19.11,25.8,Wood,Clear Lacquer #184 Cherry,
FC-184CL,0.75,2.5,0.25,,,33.65,Wood,FC Clear Lacquer #184 Cherry,
184CG,0.75,2.5,0.25,12.74,19.11,25.8,Wood,Aged #184 Cherry,
FC-184CG,0.75,2.5,0.25,,,33.65,Wood,FC Aged #184 Cherry,
184CQ,0.75,2.5,0.25,12.74,19.11,25.8,Wood,Antique #184 Cherry,
FC-184CQ,0.75,2.5,0.25,,,33.65,Wood,FC Antique #184 Cherry,
184CD,0.75,2.5,0.25,12.74,19.11,25.8,Wood,Black Cherry #184 Cherry,
FC-184CD,0.75,2.5,0.25,,,34.34,Wood,FC Black Cherry #184 Cherry,
184MR,0.75,2.5,0.25,6.97,9.9,14.85,Wood,Raw #184 Maple,
FC-184MR,0.75,2.5,0.25,,,30.53,Wood,FC Raw #184 Maple,
184MF,0.75,2.5,0.25,10.23,14.53,19.62,Wood,Oil & Wax #184 Maple,
FC-184MF,0.75,2.5,0.25,,,31.21,Wood,FC Oil & Wax #184 Maple,
184ML,0.75,2.5,0.25,10.5,14.91,20.13,Wood,Clear Lacquer #184 Maple,
FC-184ML,0.75,2.5,0.25,,,31.21,Wood,FC Clear Lacquer #184 Maple,
184MW,0.75,2.5,0.25,11.56,16.42,22.17,Wood,WhiteWash #184 Maple,
FC-184MW,0.75,2.5,0.25,,,31.9,Wood,FC WhiteWash #184 Maple,
184MT,0.75,2.5,0.25,10.77,15.29,20.64,Wood,White #184 Maple,
FC-184MT,0.75,2.5,0.25,,,32.59,Wood,FC White #184 Maple,
184MK,0.75,2.5,0.25,10.77,15.29,20.64,Wood,Satin Black #184 Maple,
FC-184MK,0.75,2.5,0.25,,,32.59,Wood,FC Satin Black #184 Maple,
184MA,0.75,2.5,0.25,10.77,15.29,20.64,Wood,Warm White #184 Maple,
FC-184MA,0.75,2.5,0.25,,,32.59,Wood,FC Warm White #184 Maple,
184MI,0.75,2.5,0.25,10.77,15.29,20.64,Wood,Rising White #184 Maple,
FC-184MI,0.75,2.5,0.25,,,32.59,Wood,FC Rising White #184 Maple,
184M1,0.75,2.5,0.25,10.77,15.29,20.64,Wood,Light Grey #184 Maple,
FC-184M1,0.75,2.5,0.25,,,32.59,Wood,FC Light Grey #184 Maple,
184M2,0.75,2.5,0.25,10.77,15.29,20.64,Wood,Medium Grey #184 Maple,
FC-184M2,0.75,2.5,0.25,,,32.59,Wood,FC Medium Grey #184 Maple,
184M3,0.75,2.5,0.25,10.77,15.29,20.64,Wood,Dark Grey #184 Maple,
FC-184M3,0.75,2.5,0.25,,,32.59,Wood,FC Dark Grey #184 Maple,
184M9,0.75,2.5,0.25,11.56,16.42,22.17,Wood,Wheat #184 Maple,
FC-184M9,0.75,2.5,0.25,,,32.59,Wood,FC Wheat #184 Maple,
184WR,0.75,2.5,0.25,13.54,19.77,29.66,Wood,Raw #184 Walnut,
FC-184WR,0.75,2.5,0.25,,,40.4,Wood,FC Raw #184 Walnut,
184WF,0.75,2.5,0.25,18.13,26.47,35.73,Wood,Oil & Wax #184 Walnut,
FC-184WF,0.75,2.5,0.25,,,41.08,Wood,FC Oil & Wax #184 Walnut,
184WP,0.75,2.5,0.25,18.97,27.7,37.4,Wood,Padauk #184 Walnut,
FC-184WP,0.75,2.5,0.25,,,41.77,Wood,FC Padauk #184 Walnut,
184WB,0.75,2.5,0.25,18.97,27.7,37.4,Wood,Special Dark #184 Walnut,
FC-184WB,0.75,2.5,0.25,,,41.77,Wood,FC Special Dark #184 Walnut,
184WE,0.75,2.5,0.25,18.13,26.47,35.73,Wood,Ebony #184 Walnut,
FC-184WE,0.75,2.5,0.25,,,41.77,Wood,FC Ebony #184 Walnut,
184WK,0.75,2.5,0.25,17.34,25.32,34.18,Wood,Satin Black #184 Walnut,
FC-184WK,0.75,2.5,0.25,,,41.08,Wood,FC Satin Black #184 Walnut,
184W1,0.75,2.5,0.25,17.34,25.32,34.18,Wood,Light Grey #184 Walnut,
FC-184W1,0.75,2.5,0.25,,,41.08,Wood,FC Light Grey #184 Walnut,
184W2,0.75,2.5,0.25,17.34,25.32,34.18,Wood,Medium Grey #184 Walnut,
FC-184W2,0.75,2.5,0.25,,,41.08,Wood,FC Medium Grey #184 Walnut,
184W3,0.75,2.5,0.25,17.34,25.32,34.18,Wood,Dark Grey #184 Walnut,
FC-184W3,0.75,2.5,0.25,,,41.08,Wood,FC Dark Grey #184 Walnut,
184VR,0.75,2.5,0.25,8.13,13.41,20.12,Wood,Raw #184 White Oak,
FC-184VR,0.75,2.5,0.25,,,34.04,Wood,FC Raw #184 White Oak,
184VF,0.75,2.5,0.25,11.39,18.79,25.37,Wood,Oil & Wax #184 White Oak,
FC-184VF,0.75,2.5,0.25,,,34.72,Wood,FC Oil & Wax #184 White Oak,
184VL,0.75,2.5,0.25,11.93,19.68,26.57,Wood,Clear Lacquer #184 White Oak,
FC-184VL,0.75,2.5,0.25,,,34.72,Wood,FC Clear Lacquer #184 White Oak,
184VC,0.75,2.5,0.25,13.56,22.37,30.2,Wood,Charcoal #184 White Oak,
FC-184VC,0.75,2.5,0.25,,,35.41,Wood,FC Charcoal #184 White Oak,
184VM,0.75,2.5,0.25,13.56,22.37,30.2,Wood,Mission #184 White Oak,
FC-184VM,0.75,2.5,0.25,,,35.41,Wood,FC Mission #184 White Oak,
184V7,0.75,2.5,0.25,13.56,22.37,30.2,Wood,Bleached #184 White Oak,
FC-184V7,0.75,2.5,0.25,,,35.41,Wood,FC Bleached #184 White Oak,
205AR,0.75,0.75,0.25,4.05,5.75,9.2,Wood,Raw #205 Ash,
FC-205AR,0.75,0.75,0.25,,,26.38,Wood,FC Raw #205 Ash,
205AF,0.75,0.75,0.25,7.58,10.76,15.06,Wood,Oil & Wax #205 Ash,
FC-205AF,0.75,0.75,0.25,,,27.06,Wood,FC Oil & Wax #205 Ash,
205AL,0.75,0.75,0.25,8.64,12.27,17.18,Wood,Clear Lacquer #205 Ash,
FC-205AL,0.75,0.75,0.25,,,27.06,Wood,FC Clear Lacquer #205 Ash,
205AW,0.75,0.75,0.25,9.75,13.84,19.38,Wood,WhiteWash #205 Ash,
FC-205AW,0.75,0.75,0.25,,,27.75,Wood,FC WhiteWash #205 Ash,
205AT,0.75,0.75,0.25,9.75,13.84,19.38,Wood,White #205 Ash,
FC-205AT,0.75,0.75,0.25,,,29.13,Wood,FC White #205 Ash,
205AK,0.75,0.75,0.25,9.75,13.84,19.38,Wood,Satin Black #205 Ash,
FC-205AK,0.75,0.75,0.25,,,29.13,Wood,FC Satin Black #205 Ash,
205AA,0.75,0.75,0.25,9.75,13.84,19.38,Wood,Warm White #205 Ash,
FC-205AA,0.75,0.75,0.25,,,29.13,Wood,FC Warm White #205 Ash,
205AC,0.75,0.75,0.25,9.75,13.84,19.38,Wood,Charcoal #205 Ash,
FC-205AC,0.75,0.75,0.25,,,29.13,Wood,FC Charcoal #205 Ash,
205AI,0.75,0.75,0.25,9.75,13.84,19.38,Wood,Rising White #205 Ash,
FC-205AI,0.75,0.75,0.25,,,29.13,Wood,FC Rising White #205 Ash,
205A1,0.75,0.75,0.25,9.75,13.84,19.38,Wood,Light Grey #205 Ash,
FC-205A1,0.75,0.75,0.25,,,29.13,Wood,FC Light Grey #205 Ash,
205A2,0.75,0.75,0.25,9.75,13.84,19.38,Wood,Medium Grey #205 Ash,
FC-205A2,0.75,0.75,0.25,,,29.13,Wood,FC Medium Grey #205 Ash,
205A3,0.75,0.75,0.25,9.75,13.84,19.38,Wood,Dark Grey #205 Ash,
FC-205A3,0.75,0.75,0.25,,,29.13,Wood,FC Dark Grey #205 Ash,
205CR,0.75,0.75,0.25,4.13,6.03,9.65,Wood,Raw #205 Cherry,
FC-205CR,0.75,0.75,0.25,,,26.66,Wood,FC Raw #205 Cherry,
205CF,0.75,0.75,0.25,7.93,11.58,16.21,Wood,Oil & Wax #205 Cherry,
FC-205CF,0.75,0.75,0.25,,,27.34,Wood,FC Oil & Wax #205 Cherry,
205CL,0.75,0.75,0.25,9.83,14.35,20.09,Wood,Clear Lacquer #205 Cherry,
FC-205CL,0.75,0.75,0.25,,,28.72,Wood,FC Clear Lacquer #205 Cherry,
205CG,0.75,0.75,0.25,9.83,14.35,20.09,Wood,Aged #205 Cherry,
FC-205CG,0.75,0.75,0.25,,,28.72,Wood,FC Aged #205 Cherry,
205CQ,0.75,0.75,0.25,9.83,14.35,20.09,Wood,Antique #205 Cherry,
FC-205CQ,0.75,0.75,0.25,,,28.72,Wood,FC Antique #205 Cherry,
205CD,0.75,0.75,0.25,9.83,14.35,20.09,Wood,Black Cherry #205 Cherry,
FC-205CD,0.75,0.75,0.25,,,29.41,Wood,FC Black Cherry #205 Cherry,
205MR,0.75,0.75,0.25,4.46,6.15,9.84,Wood,Raw #205 Maple,
FC-205MR,0.75,0.75,0.25,,,26.78,Wood,FC Raw #205 Maple,
205MF,0.75,0.75,0.25,7.99,11.03,15.44,Wood,Oil & Wax #205 Maple,
FC-205MF,0.75,0.75,0.25,,,27.46,Wood,FC Oil & Wax #205 Maple,
205ML,0.75,0.75,0.25,8.26,11.4,15.96,Wood,Clear Lacquer #205 Maple,
FC-205ML,0.75,0.75,0.25,,,27.46,Wood,FC Clear Lacquer #205 Maple,
205MW,0.75,0.75,0.25,9.89,13.65,19.11,Wood,WhiteWash #205 Maple,
FC-205MW,0.75,0.75,0.25,,,28.15,Wood,FC WhiteWash #205 Maple,
205MT,0.75,0.75,0.25,9.05,12.49,17.49,Wood,White #205 Maple,
FC-205MT,0.75,0.75,0.25,,,28.84,Wood,FC White #205 Maple,
205MK,0.75,0.75,0.25,9.05,12.49,17.49,Wood,Satin Black #205 Maple,
FC-205MK,0.75,0.75,0.25,,,28.84,Wood,FC Satin Black #205 Maple,
205MA,0.75,0.75,0.25,9.05,12.49,17.49,Wood,Warm White #205 Maple,
FC-205MA,0.75,0.75,0.25,,,28.84,Wood,FC Warm White #205 Maple,
205MI,0.75,0.75,0.25,9.05,12.49,17.49,Wood,Rising White #205 Maple,
FC-205MI,0.75,0.75,0.25,,,28.84,Wood,FC Rising White #205 Maple,
205M1,0.75,0.75,0.25,8.26,11.4,15.96,Wood,Light Grey #205 Maple,
FC-205M1,0.75,0.75,0.25,,,28.84,Wood,FC Light Grey #205 Maple,
205M2,0.75,0.75,0.25,8.26,11.4,15.96,Wood,Medium Grey #205 Maple,
FC-205M2,0.75,0.75,0.25,,,28.84,Wood,FC Medium Grey #205 Maple,
205M3,0.75,0.75,0.25,8.26,11.4,15.96,Wood,Dark Grey #205 Maple,
FC-205M3,0.75,0.75,0.25,,,28.84,Wood,FC Dark Grey #205 Maple,
205M9,0.75,0.75,0.25,9.05,12.49,17.49,Wood,Wheat #205 Maple,
FC-205M9,0.75,0.75,0.25,,,28.84,Wood,FC Wheat #205 Maple,
205OR,0.75,0.75,0.25,3.77,5.2,8.32,Wood,Raw #205 Oak,
FC-205OR,0.75,0.75,0.25,,,25.83,Wood,FC Raw #205 Oak,
205OF,0.75,0.75,0.25,7.3,10.07,14.1,Wood,Oil & Wax #205 Oak,
FC-205OF,0.75,0.75,0.25,,,26.51,Wood,FC Oil & Wax #205 Oak,
205OL,0.75,0.75,0.25,7.57,10.45,14.63,Wood,Clear Lacquer #205 Oak,
FC-205OL,0.75,0.75,0.25,,,26.51,Wood,FC Clear Lacquer #205 Oak,
205WR,0.75,0.75,0.25,8.47,12.37,19.79,Wood,Raw #205 Walnut,
FC-205WR,0.75,0.75,0.25,,,33,Wood,FC Raw #205 Walnut,
205WF,0.75,0.75,0.25,13.9,20.29,28.41,Wood,Oil & Wax #205 Walnut,
FC-205WF,0.75,0.75,0.25,,,33.68,Wood,FC Oil & Wax #205 Walnut,
205WP,0.75,0.75,0.25,14.17,20.69,28.97,Wood,Padauk #205 Walnut,
FC-205WP,0.75,0.75,0.25,,,34.37,Wood,FC Padauk #205 Walnut,
205WB,0.75,0.75,0.25,14.17,20.69,28.97,Wood,Special Dark #205 Walnut,
FC-205WB,0.75,0.75,0.25,,,34.37,Wood,FC Special Dark #205 Walnut,
205WE,0.75,0.75,0.25,13.9,20.29,28.41,Wood,Ebony #205 Walnut,
FC-205WE,0.75,0.75,0.25,,,34.37,Wood,FC Ebony #205 Walnut,
205WK,0.75,0.75,0.25,13.06,19.07,26.7,Wood,Satin Black #205 Walnut,
FC-205WK,0.75,0.75,0.25,,,33.68,Wood,FC Satin Black #205 Walnut,
205W1,0.75,0.75,0.25,13.06,19.07,26.7,Wood,Light Grey #205 Walnut,
FC-205W1,0.75,0.75,0.25,,,33.68,Wood,FC Light Grey #205 Walnut,
205W2,0.75,0.75,0.25,13.06,19.07,26.7,Wood,Medium Grey #205 Walnut,
FC-205W2,0.75,0.75,0.25,,,33.68,Wood,FC Medium Grey #205 Walnut,
205W3,0.75,0.75,0.25,13.06,19.07,26.7,Wood,Dark Grey #205 Walnut,
FC-205W3,0.75,0.75,0.25,,,33.68,Wood,FC Dark Grey #205 Walnut,
215CR,0.75,1.062,0.25,4.51,6.58,10.53,Wood,Raw #215 Cherry,
FC-215CR,0.75,1.062,0.25,,,27.21,Wood,FC Raw #215 Cherry,
215CF,0.75,1.062,0.25,8.31,12.13,16.98,Wood,Oil & Wax #215 Cherry,
FC-215CF,0.75,1.062,0.25,,,27.89,Wood,FC Oil & Wax #215 Cherry,
215CL,0.75,1.062,0.25,10.21,14.91,20.87,Wood,Clear Lacquer #215 Cherry,
FC-215CL,0.75,1.062,0.25,,,29.27,Wood,FC Clear Lacquer #215 Cherry,
215CG,0.75,1.062,0.25,10.21,14.91,20.87,Wood,Aged #215 Cherry,
FC-215CG,0.75,1.062,0.25,,,29.27,Wood,FC Aged #215 Cherry,
215CQ,0.75,1.062,0.25,10.21,14.91,20.87,Wood,Antique #215 Cherry,
FC-215CQ,0.75,1.062,0.25,,,29.27,Wood,FC Antique #215 Cherry,
215CD,0.75,1.062,0.25,10.21,14.91,20.87,Wood,Black Cherry #215 Cherry,
FC-215CD,0.75,1.062,0.25,,,29.96,Wood,FC Black Cherry #215 Cherry,
215MR,0.75,1.062,0.25,4.86,6.71,10.74,Wood,Raw #215 Maple,
FC-215MR,0.75,1.062,0.25,,,27.34,Wood,FC Raw #215 Maple,
215MF,0.75,1.062,0.25,8.39,11.58,16.21,Wood,Oil & Wax #215 Maple,
FC-215MF,0.75,1.062,0.25,,,28.02,Wood,FC Oil & Wax #215 Maple,
215ML,0.75,1.062,0.25,8.66,11.95,16.73,Wood,Clear Lacquer #215 Maple,
FC-215ML,0.75,1.062,0.25,,,28.02,Wood,FC Clear Lacquer #215 Maple,
215MW,0.75,1.062,0.25,10.29,14.2,19.88,Wood,WhiteWash #215 Maple,
FC-215MW,0.75,1.062,0.25,,,28.71,Wood,FC WhiteWash #215 Maple,
215MT,0.75,1.062,0.25,9.45,13.04,18.26,Wood,White #215 Maple,
FC-215MT,0.75,1.062,0.25,,,29.4,Wood,FC White #215 Maple,
215MK,0.75,1.062,0.25,9.45,13.04,18.26,Wood,Satin Black #215 Maple,
FC-215MK,0.75,1.062,0.25,,,29.4,Wood,FC Satin Black #215 Maple,
215MA,0.75,1.062,0.25,9.45,13.04,18.26,Wood,Warm White #215 Maple,
FC-215MA,0.75,1.062,0.25,,,29.4,Wood,FC Warm White #215 Maple,
215MI,0.75,1.062,0.25,9.45,13.04,18.26,Wood,Rising White #215 Maple,
FC-215MI,0.75,1.062,0.25,,,29.4,Wood,FC Rising White #215 Maple,
215M1,0.75,1.062,0.25,8.66,11.95,16.73,Wood,Light Grey #215 Maple,
FC-215M1,0.75,1.062,0.25,,,29.4,Wood,FC Light Grey #215 Maple,
215M2,0.75,1.062,0.25,8.66,11.95,16.73,Wood,Medium Grey #215 Maple,
FC-215M2,0.75,1.062,0.25,,,29.4,Wood,FC Medium Grey #215 Maple,
215M3,0.75,1.062,0.25,8.66,11.95,16.73,Wood,Dark Grey #215 Maple,
FC-215M3,0.75,1.062,0.25,,,29.4,Wood,FC Dark Grey #215 Maple,
215M9,0.75,1.062,0.25,9.45,13.04,18.26,Wood,Wheat #215 Maple,
FC-215M9,0.75,1.062,0.25,,,29.4,Wood,FC Wheat #215 Maple,
215WR,0.75,1.062,0.25,9.02,13.17,21.07,Wood,Raw #215 Walnut,
FC-215WR,0.75,1.062,0.25,,,33.8,Wood,FC Raw #215 Walnut,
215WF,0.75,1.062,0.25,14.45,21.1,29.54,Wood,Oil & Wax #215 Walnut,
FC-215WF,0.75,1.062,0.25,,,34.48,Wood,FC Oil & Wax #215 Walnut,
215WP,0.75,1.062,0.25,14.72,21.49,30.09,Wood,Padauk #215 Walnut,
FC-215WP,0.75,1.062,0.25,,,35.17,Wood,FC Padauk #215 Walnut,
215WB,0.75,1.062,0.25,14.72,21.49,30.09,Wood,Special Dark #215 Walnut,
FC-215WB,0.75,1.062,0.25,,,35.17,Wood,FC Special Dark #215 Walnut,
215WE,0.75,1.062,0.25,14.45,21.1,29.54,Wood,Ebony #215 Walnut,
FC-215WE,0.75,1.062,0.25,,,35.17,Wood,FC Ebony #215 Walnut,
215WK,0.75,1.062,0.25,13.61,19.87,27.82,Wood,Satin Black #215 Walnut,
FC-215WK,0.75,1.062,0.25,,,34.48,Wood,FC Satin Black #215 Walnut,
215W1,0.75,1.062,0.25,13.61,19.87,27.82,Wood,Light Grey #215 Walnut,
FC-215W1,0.75,1.062,0.25,,,34.48,Wood,FC Light Grey #215 Walnut,
215W2,0.75,1.062,0.25,13.61,19.87,27.82,Wood,Medium Grey #215 Walnut,
FC-215W2,0.75,1.062,0.25,,,34.48,Wood,FC Medium Grey #215 Walnut,
215W3,0.75,1.062,0.25,13.61,19.87,27.82,Wood,Dark Grey #215 Walnut,
FC-215W3,0.75,1.062,0.25,,,34.48,Wood,FC Dark Grey #215 Walnut,
216CR,0.625,1.062,0.25,4.51,6.58,10.53,Wood,Raw #216 Cherry,
FC-216CR,0.625,1.062,0.25,,,27.21,Wood,FC Raw #216 Cherry,
216CF,0.625,1.062,0.25,8.31,12.13,16.98,Wood,Oil & Wax #216 Cherry,
FC-216CF,0.625,1.062,0.25,,,27.89,Wood,FC Oil & Wax #216 Cherry,
216CL,0.625,1.062,0.25,10.21,14.91,20.87,Wood,Clear Lacquer #216 Cherry,
FC-216CL,0.625,1.062,0.25,,,29.27,Wood,FC Clear Lacquer #216 Cherry,
216CG,0.625,1.062,0.25,10.21,14.91,20.87,Wood,Aged #216 Cherry,
FC-216CG,0.625,1.062,0.25,,,29.27,Wood,FC Aged #216 Cherry,
216CQ,0.625,1.062,0.25,10.21,14.91,20.87,Wood,Antique #216 Cherry,
FC-216CQ,0.625,1.062,0.25,,,29.27,Wood,FC Antique #216 Cherry,
216CD,0.625,1.062,0.25,10.21,14.91,20.87,Wood,Black Cherry #216 Cherry,
FC-216CD,0.625,1.062,0.25,,,29.96,Wood,FC Black Cherry #216 Cherry,
216MR,0.625,1.062,0.25,4.86,6.71,10.74,Wood,Raw #216 Maple,
FC-216MR,0.625,1.062,0.25,,,27.34,Wood,FC Raw #216 Maple,
216MF,0.625,1.062,0.25,8.39,11.58,16.21,Wood,Oil & Wax #216 Maple,
FC-216MF,0.625,1.062,0.25,,,28.02,Wood,FC Oil & Wax #216 Maple,
216ML,0.625,1.062,0.25,8.66,11.95,16.73,Wood,Clear Lacquer #216 Maple,
FC-216ML,0.625,1.062,0.25,,,28.02,Wood,FC Clear Lacquer #216 Maple,
216MW,0.625,1.062,0.25,10.29,14.2,19.88,Wood,WhiteWash #216 Maple,
FC-216MW,0.625,1.062,0.25,,,28.71,Wood,FC WhiteWash #216 Maple,
216MT,0.625,1.062,0.25,9.45,13.04,18.26,Wood,White #216 Maple,
FC-216MT,0.625,1.062,0.25,,,29.4,Wood,FC White #216 Maple,
216MK,0.625,1.062,0.25,9.45,13.04,18.26,Wood,Satin Black #216 Maple,
FC-216MK,0.625,1.062,0.25,,,29.4,Wood,FC Satin Black #216 Maple,
216MA,0.625,1.062,0.25,9.45,13.04,18.26,Wood,Warm White #216 Maple,
FC-216MA,0.625,1.062,0.25,,,29.4,Wood,FC Warm White #216 Maple,
216MI,0.625,1.062,0.25,9.45,13.04,18.26,Wood,Rising White #216 Maple,
FC-216MI,0.625,1.062,0.25,,,29.4,Wood,FC Rising White #216 Maple,
216M1,0.625,1.062,0.25,8.66,11.95,16.73,Wood,Light Grey #216 Maple,
FC-216M1,0.625,1.062,0.25,,,29.4,Wood,FC Light Grey #216 Maple,
216M2,0.625,1.062,0.25,8.66,11.95,16.73,Wood,Medium Grey #216 Maple,
FC-216M2,0.625,1.062,0.25,,,29.4,Wood,FC Medium Grey #216 Maple,
216M3,0.625,1.062,0.25,8.66,11.95,16.73,Wood,Dark Grey #216 Maple,
FC-216M3,0.625,1.062,0.25,,,29.4,Wood,FC Dark Grey #216 Maple,
216M9,0.625,1.062,0.25,9.45,13.04,18.26,Wood,Wheat #216 Maple,
FC-216M9,0.625,1.062,0.25,,,29.4,Wood,FC Wheat #216 Maple,
216WR,0.625,1.062,0.25,9.02,13.17,21.07,Wood,Raw #216 Walnut,
FC-216WR,0.625,1.062,0.25,,,33.8,Wood,FC Raw #216 Walnut,
216WF,0.625,1.062,0.25,14.45,21.1,29.54,Wood,Oil & Wax #216 Walnut,
FC-216WF,0.625,1.062,0.25,,,34.48,Wood,FC Oil & Wax #216 Walnut,
216WP,0.625,1.062,0.25,14.72,21.49,30.09,Wood,Padauk #216 Walnut,
FC-216WP,0.625,1.062,0.25,,,35.17,Wood,FC Padauk #216 Walnut,
216WB,0.625,1.062,0.25,14.72,21.49,30.09,Wood,Special Dark #216 Walnut,
FC-216WB,0.625,1.062,0.25,,,35.17,Wood,FC Special Dark #216 Walnut,
216WE,0.625,1.062,0.25,14.45,21.1,29.54,Wood,Ebony #216 Walnut,
FC-216WE,0.625,1.062,0.25,,,35.17,Wood,FC Ebony #216 Walnut,
216WK,0.625,1.062,0.25,13.61,19.87,27.82,Wood,Satin Black #216 Walnut,
FC-216WK,0.625,1.062,0.25,,,34.48,Wood,FC Satin Black #216 Walnut,
216W1,0.625,1.062,0.25,13.61,19.87,27.82,Wood,Light Grey #216 Walnut,
FC-216W1,0.625,1.062,0.25,,,34.48,Wood,FC Light Grey #216 Walnut,
216W2,0.625,1.062,0.25,13.61,19.87,27.82,Wood,Medium Grey #216 Walnut,
FC-216W2,0.625,1.062,0.25,,,34.48,Wood,FC Medium Grey #216 Walnut,
216W3,0.625,1.062,0.25,13.61,19.87,27.82,Wood,Dark Grey #216 Walnut,
FC-216W3,0.625,1.062,0.25,,,34.48,Wood,FC Dark Grey #216 Walnut,
220AR,0.5,0.562,0.188,4.2,5.96,9.54,Wood,Raw #220 Ash,
FC-220AR,0.5,0.562,0.188,,,25.9,Wood,FC Raw #220 Ash,
220AF,0.5,0.562,0.188,7.73,10.98,15.37,Wood,Oil & Wax #220 Ash,
FC-220AF,0.5,0.562,0.188,,,26.59,Wood,FC Oil & Wax #220 Ash,
220AL,0.5,0.562,0.188,8.79,12.48,17.47,Wood,Clear Lacquer #220 Ash,
FC-220AL,0.5,0.562,0.188,,,26.59,Wood,FC Clear Lacquer #220 Ash,
220AW,0.5,0.562,0.188,9.9,14.06,19.68,Wood,WhiteWash #220 Ash,
FC-220AW,0.5,0.562,0.188,,,27.27,Wood,FC WhiteWash #220 Ash,
220AT,0.5,0.562,0.188,9.9,14.06,19.68,Wood,White #220 Ash,
FC-220AT,0.5,0.562,0.188,,,28.65,Wood,FC White #220 Ash,
220AK,0.5,0.562,0.188,9.9,14.06,19.68,Wood,Satin Black #220 Ash,
FC-220AK,0.5,0.562,0.188,,,28.65,Wood,FC Satin Black #220 Ash,
220AA,0.5,0.562,0.188,9.9,14.06,19.68,Wood,Warm White #220 Ash,
FC-220AA,0.5,0.562,0.188,,,28.65,Wood,FC Warm White #220 Ash,
220AC,0.5,0.562,0.188,9.9,14.06,19.68,Wood,Charcoal #220 Ash,
FC-220AC,0.5,0.562,0.188,,,28.65,Wood,FC Charcoal #220 Ash,
220AI,0.5,0.562,0.188,9.9,14.06,19.68,Wood,Rising White #220 Ash,
FC-220AI,0.5,0.562,0.188,,,28.65,Wood,FC Rising White #220 Ash,
220A1,0.5,0.562,0.188,9.9,14.06,19.68,Wood,Light Grey #220 Ash,
FC-220A1,0.5,0.562,0.188,,,28.65,Wood,FC Light Grey #220 Ash,
220A2,0.5,0.562,0.188,9.9,14.06,19.68,Wood,Medium Grey #220 Ash,
FC-220A2,0.5,0.562,0.188,,,28.65,Wood,FC Medium Grey #220 Ash,
220A3,0.5,0.562,0.188,9.9,14.06,19.68,Wood,Dark Grey #220 Ash,
FC-220A3,0.5,0.562,0.188,,,28.65,Wood,FC Dark Grey #220 Ash,
220CR,0.5,0.562,0.188,4.11,6,9.6,Wood,Raw #220 Cherry,
FC-220CR,0.5,0.562,0.188,,,25.94,Wood,FC Raw #220 Cherry,
220CF,0.5,0.562,0.188,7.91,11.55,16.17,Wood,Oil & Wax #220 Cherry,
FC-220CF,0.5,0.562,0.188,,,26.63,Wood,FC Oil & Wax #220 Cherry,
220CL,0.5,0.562,0.188,9.81,14.32,20.05,Wood,Clear Lacquer #220 Cherry,
FC-220CL,0.5,0.562,0.188,,,28,Wood,FC Clear Lacquer #220 Cherry,
220CG,0.5,0.562,0.188,9.81,14.32,20.05,Wood,Aged #220 Cherry,
FC-220CG,0.5,0.562,0.188,,,28,Wood,FC Aged #220 Cherry,
220CQ,0.5,0.562,0.188,9.81,14.32,20.05,Wood,Antique #220 Cherry,
FC-220CQ,0.5,0.562,0.188,,,28,Wood,FC Antique #220 Cherry,
220CD,0.5,0.562,0.188,9.81,14.32,20.05,Wood,Black Cherry #220 Cherry,
FC-220CD,0.5,0.562,0.188,,,28.69,Wood,FC Black Cherry #220 Cherry,
220MR,0.5,0.562,0.188,4.55,6.28,10.05,Wood,Raw #220 Maple,
FC-220MR,0.5,0.562,0.188,,,26.22,Wood,FC Raw #220 Maple,
