category,item,description, cost , dimensions 
BAINBRIDGE,998743B,VINTAGE OAK RUSTIC ESSENTIALS,  39.20 , 32x40 
BAINBRIDGE,998747B,WEATHERED ZINC RUSTIC ESSENTIA,  39.20 , 32x40 
BAINBRIDGE,998751B,IRONWORK RUSTIC ESSENTIALS,  39.20 , 32x40 
BAINBRIDGE,998752B,DARK CLAY RUSTIC,  39.20 , 32x40 
BAINBRIDGE,4008B,GOLD DUST RICE PAPER,  70.40 , 32x40 
BAINBRIDGE,4013B,CANDLELIGHT SILVER RICE PAPER,  74.10 , 32x40 
BAINBRIDGE,4020B,RAPHAEL CLOUD ALPHA LINEN,  82.60 , 32x40 
BAINBRIDGE,4021B,MONET LILY ALPHA LINEN,  82.60 , 32x40 
BAINBRIDGE,4022B,SEURAT SAND ALPHA LINEN,  82.60 , 32x40 
BAINBRIDGE,4023B,REMBRANDT SHADOW ALPHA LINEN,  82.60 , 32x40 
BAINBRIDGE,4024B,VERMEER BLACK ALPHA LINEN,  82.60 , 32x40 
BAINBRIDGE,4025B,TITIAN GOLD ALPHA LINEN,  82.60 , 32x40 
BAINBRIDGE,4027B,GAUGUIN GREEN ALPHA LINEN,  82.60 , 32x40 
BAINBRIDGE,4075B,PEATMOSS GLAZED LINEN,  74.10 , 32x40 
BAINBRIDGE,4079B,OATMEAL GLAZED LINEN,  74.10 , 32x40 
BAINBRIDGE,4080B,CHARRED BLACK GLAZED LINEN,  74.10 , 32x40 
BAINBRIDGE,4091B,MERINGUE NEW THREADS,  57.10 , 32x40 
BAINBRIDGE,4097B,CAMEL NEW THREADS LINEN,  57.10 , 32x40 
BAINBRIDGE,4099B,NIGHTSHADE BASICS NEW THREADS,  57.10 , 32x40 
